episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4788
12,-21.0,3304
13,-21.0,4116
14,-21.0,3408
15,-21.0,3304
16,-20.0,3373
17,-21.0,3056
18,-21.0,3056
19,-20.0,3460
20,-20.0,3367
21,-21.0,3168
22,-21.0,3168
23,-21.0,3300
24,-21.0,3300
25,-21.0,3168
26,-21.0,3280
27,-21.0,3056
28,-21.0,3056
29,-21.0,3056
30,-21.0,3548
31,-21.0,3056
32,-20.0,3350
33,-21.0,3056
34,-21.0,3056
35,-21.0,3168
36,-20.0,3350
37,-21.0,3131
38,-21.0,3168
39,-21.0,3168
40,-21.0,3056
41,-21.0,3168
42,-21.0,3168
43,-21.0,3056
44,-21.0,3131
45,-21.0,3296
46,-21.0,3168
47,-21.0,3056
48,-21.0,3056
49,-21.0,3056
50,-21.0,3056
51,-21.0,3056
52,-21.0,3536
53,-21.0,3056
54,-21.0,3300
55,-21.0,3280
56,-21.0,3296
57,-21.0,3168
58,-21.0,3131
59,-20.0,3350
60,-21.0,3056
61,-21.0,3056
62,-21.0,3056
63,-21.0,3056
64,-21.0,3300
65,-21.0,3300
66,-20.0,3348
67,-21.0,3056
68,-20.0,3350
69,-21.0,3300
70,-21.0,3056
71,-21.0,3056
72,-21.0,3056
73,-21.0,3056
74,-21.0,3168
75,-21.0,3056
76,-21.0,3056
77,-21.0,3412
78,-21.0,3056
79,-21.0,3056
80,-21.0,3056
81,-20.0,3350
82,-21.0,3056
83,-21.0,3056
84,-21.0,3056
85,-21.0,3056
86,-21.0,3056
87,-21.0,3056
88,-21.0,3056
89,-21.0,3056
90,-21.0,3056
91,-21.0,3168
92,-20.0,3588
93,-21.0,3168
94,-21.0,3056
95,-21.0,3168
96,-21.0,3304
97,-21.0,3056
98,-20.0,3348
99,-21.0,3056
100,-21.0,3056
101,-21.0,3056
102,-21.0,3056
103,-21.0,3056
104,-21.0,3296
105,-21.0,3408
106,-21.0,3056
107,-21.0,3131
108,-21.0,3056
109,-21.0,3536
110,-21.0,3056
111,-21.0,3056
112,-21.0,3056
113,-21.0,3056
114,-21.0,3056
115,-21.0,3056
116,-21.0,3300
117,-21.0,3056
118,-21.0,3056
119,-21.0,3056
120,-21.0,3056
121,-21.0,3168
122,-21.0,3408
123,-21.0,3056
124,-21.0,3056
125,-21.0,3536
126,-21.0,3056
127,-21.0,3056
128,-21.0,3300
129,-21.0,3168
130,-21.0,3056
131,-20.0,3435
132,-21.0,3168
133,-21.0,3296
134,-21.0,3056
135,-21.0,3296
136,-21.0,3168
137,-21.0,3168
138,-21.0,3056
139,-21.0,3056
140,-21.0,3300
141,-21.0,3056
142,-21.0,3056
143,-21.0,3056
144,-21.0,3408
145,-21.0,3056
146,-21.0,3168
147,-21.0,3296
148,-21.0,3168
149,-21.0,3300
150,-20.0,3691
151,-21.0,3056
152,-21.0,3296
153,-21.0,3056
154,-21.0,3168
155,-21.0,3280
156,-21.0,3536
157,-21.0,3296
158,-21.0,3296
159,-21.0,3300
160,-21.0,3056
161,-20.0,3858
162,-21.0,3296
163,-21.0,3296
164,-21.0,3056
165,-21.0,3536
166,-21.0,3056
167,-21.0,3056
168,-21.0,3056
169,-21.0,3536
170,-21.0,3408
171,-21.0,3056
172,-21.0,3056
173,-21.0,3056
174,-21.0,3296
175,-21.0,3056
176,-21.0,3056
177,-21.0,3540
178,-21.0,3056
179,-21.0,3056
180,-21.0,3056
181,-21.0,3296
182,-21.0,3056
183,-21.0,3296
184,-21.0,3056
185,-21.0,3056
186,-21.0,3056
187,-21.0,3056
188,-21.0,3056
189,-21.0,3296
190,-21.0,3168
191,-21.0,3056
192,-21.0,3056
193,-21.0,3056
194,-21.0,3056
195,-21.0,3168
196,-21.0,3056
197,-21.0,3296
198,-21.0,3056
199,-21.0,3056
200,-21.0,3056
201,-21.0,3056
202,-20.0,3462
203,-20.0,3350
204,-21.0,3056
205,-21.0,3296
206,-21.0,3536
207,-21.0,3056
208,-21.0,3168
209,-21.0,3648
210,-21.0,3648
211,-21.0,3056
212,-20.0,3923
213,-21.0,3296
214,-21.0,3056
215,-21.0,3056
216,-21.0,3056
217,-21.0,3168
218,-21.0,3540
219,-21.0,3168
220,-20.0,3370
221,-21.0,3056
222,-21.0,3780
223,-21.0,3536
224,-21.0,3128
225,-21.0,3168
226,-21.0,3056
227,-21.0,3056
228,-20.0,3350
229,-21.0,3304
230,-21.0,3300
231,-21.0,3296
232,-21.0,3056
233,-21.0,3056
234,-20.0,3367
235,-21.0,3168
236,-21.0,3296
237,-21.0,3304
238,-21.0,3296
239,-20.0,3373
240,-21.0,3056
241,-21.0,3056
242,-21.0,3056
243,-21.0,3540
244,-21.0,3056
245,-21.0,3168
246,-21.0,3168
247,-21.0,3304
248,-21.0,3056
249,-21.0,3960
250,-21.0,3168
